,i
.C58 1971,2
L665 1882,2
T46 1843,2
.B44 1864,2
S35 1908,2
.G3733 1912,2
.C6756 1926,2
W64 1979,2
A25 1919,2
.M42 1814,2
C65 2013,2
.J66 1913,2
M45 1902,2
N563 1856,2
.C537 1902,2
.R63 1920,2
S76 1854,2
.B44 1845,2
W43 1886,2
N3,2
M37 2004,2
.S654 1907,2
B56 1894,2
.A3 1856,2
.K57 1973,2
F47 1851,2
W37 1871,2
C46 1928,2
Atlas (6)1869,2
P45 1926,2
S65 1932,2
1954,2
.G74 1897,2
.D86 1840,2
.A56 1937,2
.P655 1960,2
D88 1889 c. 2,2
F56 1985,2
S53 1910,2
.T5 1864,2
.D87 1923,2
H37 1903,2
L9 1847,2
C45 1871,2
B68 1899,2
.D754 1959,2
N49 1915,2
.W43557 1893,2
T78 1890,2
R44 1900,2
.R24 1877,2
M47 1939,2
O87 1904b,2
S47 1866,2
A24 1903,2
.R99 1880,2
S263 1988p,2
.R6 1970,2
I7,2
.B355 1888,2
.G85 1973,2
.S76 1876,2
M66 1934,2
V36 1935,2
.M55 1860,2
M456 1910,2
.D95 1862,2
.W5 1913,2
F57 1917,2
I67 1888,2
H63 1976,2
.M334587 1914,2
M37 1903,2
.M416 1982,2
.H37 1885,2
F57 1874,2
A5 1858,2
A4 1987,2
C65 1852,2
.C64 1897,2
A4 1983,2
G73 1930,2
R4 1897,2
.N65,2
M637 1918,2
D75 1879,2
.C335 1927,2
A3 2011,2
B44 1887,2
.G466 1960,2
H84 1929,2
.A22 1888,2
.R5355 1917,2
.H12 1720,2
R442 1915,2
L66 1938 c.2,2
B76 1938,2
D38 1900,2
M475 1995,2
.B5 1925,2
.W464 1904,2
A1 1870,2
.M665 1947,2
P37 1930,2
R44 1865,2
C45 1900z,2
I5 1908,2
H45 1902,2
D5 1949,2
B76 1928,2
.W37 1911,2
.R63 1913,2
.B77 1997,2
A4 1854,2
W45 1888,2
.C67 1876,2
.F45 1969,2
.J64 1835,2
.D8744 1902,2
S47 1868 c.1,2
.L82 1898,2
K73 1990,2
.S77535 1991 c.2,2
.P676 1933,2
C45 1893,2
.E768 1741,2
M48 1955,2
P67 1896,2
.W373 1908,2
C65 1935,2
H5 1888,2
.L4366 1941,2
B76 1947 c.2,2
F74 1886,2
C66 1860,2
M3 1915,2
C76 1909,2
.H55 1910,2
F2 1920,2
.M91 1897,2
A3 1966,2
M36 1895,2
P76 1914,2
D58 1920,2
B4 1915,2
.S7475 1909,2
.S396 1891,2
.P648 1840,2
B7665 1959,2
W67 1864,2
A3 1872,2
I575 1941,2
N45 1901,2
R442 1900z,2
.B76 1936,2
.L56 1795,2
1853,2
.D394 1931,2
H36 1913,2
H57 1903,2
A6 1901,2
N58 1853,2
T74 1929,2
Atlas (39a)1907,2
.T35 1879,2
.C737 1912,2
S43 1876,2
N49 1868,2
.H83 1872,2
.S636 1900zd,2
A3 1930,2
B44p 1889,2
.D98 1862,2
A55 1904,2
W45 1893,2
A263 1935,2
M67 1966,2
.B57 1828,2
I5 1903,2
.H4644 1932,2
H46 1887,2
B7 1870,2
A98 1900,2
A45 1908,2
I574 1905,2
M2 1927,2
.N53 1886,2
.C766 1784,2
C7 1900,2
S66 1902,2
C35 1881,2
.S755 1892,2
V855 1957,2
C89 1869,2
C46 1930,2
N58 1951,2
.H65 1921,2
E54 1953,2
.B11 1722,2
.A44 1894,2
.B4592 1969,2
.B37869 1878,2
.C782 1971,2
F43 1938,2
.M3 1926,2
R47 1885,2
C8 1913,2
.D272 1974d,2
H86 1856,2
M56 1910,2
A5 1897,2
P67 1959,2
B782 1969,2
2014,2
W6 1876,2
.W5638 1984,2
H37 1877,2
S77 1882,2
.B1713 1891,2
P3 1958,2
.P43 1886 c.2,2
A88 1842,2
.S658 1926,2
.G43 1987,2
.C634 1915,2
G5 1939,2
T44 1854,2
S66 1909,2
G46 1912,2
B37 1897,2
P38 1967,2
S35 1900,2
.H86 1926,2
B56 1907,2
Atlas (12)1877,2
B8 1808,2
C5 1849,2
R3 1884,2
.F54 1891,2
F757 1906,2
B87 1913,2
F5 1900,2
.B6773 1933,2
S25 1906,2
.D63 1971,2
.S765 1910,2
.F5383 1930,2
H3 1964,2
O43 1897,2
A263 1800z,2
N48 1940,2
P76 1887,2
F57 1875,2
R55 1904,2
M9 1887,2
U55 1917,2
K5 1976,2
F74 1994,2
.V36 1897,2
F57 1868,2
M33 1983,2
C67 1905,2
F57 1932,2
.B76 1917,2
K565 1974,2
R63 1956,2
C37 1865,2
Atlas (17)1878,2
.B741 1826,2
Atlas (34a)1904,2
Atlas (46)1916/21,2
G74 1929,2
R446 1915,2
S65 1939,2
W55 1844,2
.T47 1931,2
.C437 1924,2
.W33 1892,2
B87 1838,2
I576 1920,2
S48 1954,2
.V16,2
R47 1860,2
.S55 1955,2
O54 1900z,2
P74 1937,2
S8 1838,2
.D895 1874,2
.A78 1909,2
G46 1937,2
.S3666 1974,2
S57 1903,2
.O33 1855,2
.N58 1901,2
.T7 1901,2
1906,2
H37 1857,2
W35 1922,2
A274 1936,2
W45 1899,2
C66 1857,2
.M17 1968,2
M48 1924,2
Y68 1883,2
.R66 1902,2
R55 1894,2
R4 1906,2
U55 1861,2
Z56 1934,2
O87 1904,2
W45 1891,2
E98 1800z,2
A253 1935,2
M38 1933,2
.K56 1911,2
A73 1929,2
T47 1910,2
L3 2015,2
.A43 1885 c.2,2
I58 1941,2
Atlas (33)1903,2
W5 1898,2
.T33 1952,2
A45 1912,2
.A51,2
M36 1867,2
A5 1882,2
S56 1991,2
N53 1900z,2
.C5677 1947,2
M6775 1983,2
.R36 1949,2
.T473 1910,2
.M6776 1905,2
.W45 1947,2
C46 1934,2
.S88 1843,2
.A38 1876,2
Atlas (41a)1909,2
U54 1953,2
J36 1884,2
C565 1878,2
.B265 1895,2
B16 1885,2
B48 2006,2
.G802 1766,2
.S337 1938,2
.H694 1929,2
.P43773 1925,2
M57 1974,2
.M3235 1903,2
