,4
reclass from Vault M8625;,2
reclass from Am. Rev. C3535;,2
reclass from GV863.S37;,2
Reclass from Vit Rec NYS Warren Co.;,2
reclass from NYC L1675;,2
reclass from Vit Rec NYS Minaville;,2
Reclass from CT275.C43 C44;,2
reclass from NJ H1157 R6649;,2
reclass from Vit. Rec. NYS Phillipsburgh;,2
reclass from PZ3.C355 Youn;,2
reclass from Queens On15d;,2
reclass from L.I. So88 R5485;,2
reclass from Vit Rec CT Eastford;,2
reclass from Am. Rev. Sm615o;,2
Reclass from PZ3.B43 1898;,2
reclass from Vit. Rec. NYS Poundridge;,2
reclass from Vit Rec CT North Stamford;,2
reclass from Vit. Rec. NYS Hessville;,2
reclass from F129.B7 B76 1946;,2
reclass from Vit Rec NYS Coldenham;,2
reclass from geneal. Av371ae 1912;,2
reclass from no call #;,2
Reclass from NYC D1765;,2
reclass from F128.4.H57 1899;,2
Reclass from PZ3.T478 Gol;,2
reclass from Queens H9775;,2
reclass from Vital records NYS Westchester Co.;,2
reclass from Vit. Rec. NYS Pottersville;,2
reclass from Geneal. P8335aap;,2
reclass from NYS W522 H1175;,2
reclass from NYS H8675s;,2
reclass from T45.S6;,2
reclass from geneal. T;,2
reclass from Vit. Rec. NYS Haviland Hollow;,2
reclass from Vit Rec CT Stanwich;,2
reclass from NYS Sp84 F1625;,2
Reclass from Geneal. Ind. In25 3d ed.;,2
reclass from NYS R58 H5595;,2
reclass from Geneal. E's;,2
Reclass from Geneal. Guides Os35;,2
reclass from CS71.O986 1988;,2
reclass from Arts A5 B8685;,2
Reclass TG25.N56 B76;,2
Reclass from VM23.B3;,2
reclass from NYS J35 Oa405;,2
reclass from Vit. Rec. NJ New Providence;,2
Reclass from Vit Rec NYS Geneva;,2
reclass from Vit. Rec. NJ Saddle River;,2
reclass from Vit. Rec. CT Staffordville;,2
reclass from PZ3.C355 Mai;,2
reclass from L.I. G5 1907;,2
reclass from NYS AL13 V3225;,2
reclass from CS71.R386 1949;,2
reclass from Geneal. C's;,2
reclass from TS400.B66;,2
reclass from NYC L8995;,2
Reclass from HD2329 .B37;,2
Reclass from Vault P9465;,2
reclass from E161.L32;,2
Reclass from HT177.B7 B83;,2
reclass from Vit. Rec. CT Norwalk;,2
reclass from PN6101.P647 1840;,2
