,j
PAMP SewardWH-12,1
PAMP Drisler-1,1
B P-[1850]c.Fl,1
1977.199,1
PAMP Wheatley-2,1
2015.021,1
ARC.287,1
S.I.-1968.Fl,1
L.I.-1640-1700 (1961).Fl,1
PAMP SewardWH-11,1
1977.418,1
B P-1837.Fl,1
PAMP Enormity-1,1
NYC-1923.Fd.RA,1
1977.661,1
1979.018,1
B P-[1834]a.Fl,1
PAMP SewardWH-4,1
NYC-1847.Fl,1
ARC.091,1
PAMP GiddingsJR-1,1
1978.101,1
PAMP DNC-1,1
B A-[195-?].Fl,1
1977.035,1
V1990.067,1
Bergen-1885.Fl,1
N.E.-1853.Fl,1
(101) US-15th-19th Century (1932).A,1
2000.034,1
2014.005,1
1973.300,1
1973.280,1
1991.005,1
1977.096,1
B P-1830b.Fl,1
PAMP ASCFPC-4,1
B P-1897 (19--?).R,1
1977.055,1
PAMP LoringGB-1,1
V1998.039,1
2014.017,1
1992.021,1
PAMP MooreS-1,1
B A-[1866].Fl,1
PAMP Sedgwick-2,1
B A-1907.Fl,1
Bergen-1891.Fl,1
1977.157,1
CBBG E184.A1 F8 2006,1
2009.006,1
PAMP Pilgrim-1,1
1977.316,1
CBBG PN6231.F44 H46 2012,1
B P-[1866].Fl,1
2016.002,1
PAMP Child-6,1
1977.226,1
B A-1865.Fl,1
PAMP Chambers-1,1
2001.009,1
B A-2009a.Fl,1
ARC.090,1
Pierrepont-[18--?]a.Fl,1
Bergen-1877c.Fl,1
1977.350,1
1978.009,1
1977.504,1
B A-1964.Fl,1
B A-[1873]d.Fl,1
PAMP SimmonsG-1,1
NYS-[187-?].Fl,1
1977.639,1
Q-1996.Fl,1
PAMP ASCFPC-15,1
PAMP Sumner-11,1
PAMP Furness-1,1
ARC.155,1
1977.587,1
1987.009,1
PAMP Harlan-1,1
1977.051,1
1985.019,1
1986.021,1
PAMP Guide-1,1
B P-1889.Fd.Folio,1
Bergen-[18--?]u.Fl,1
V1991.084,1
NYS-[1817].Fl.O,1
L.I.-[1853].Fl,1
1977.436,1
1986.003,1
1977.364,1
V1986.245,1
1977.650,1
PAMP WebbRD-1,1
B P-[18--?]h.Fl,1
L.I.-1845.Fl,1
B A-[18--?]f.Fl.Folio,1
B P-1891.Fl.O,1
N. Amer.-1621 (1858).Fl,1
PAMP MorseOA-1,1
B P-[189-?]b.Fl,1
PAMP Colyer-1,1
PAMP RiceNL-1,1
1978.116,1
B A-1960a.Fl,1
E-US-1635 (195-?).Fl,1
NYC-1879.A.RA,1
PAMP Keiley-1,1
1973.106,1
ARC.001,1
1979.016,1
B A-1892.Folded,1
NYS-1776-1787 (1938).Fl,1
NYC-1993.Fl,1
L.I.-1954.Fl,1
1977.156,1
PAMP SLP-1,1
(75) NYC-1945.A,1
1978.125,1
CBBG PZ7.S1949 Fe 2012,1
PAMP Faneuil-1,1
L.I.-[1925].Fl,1
B P-[1867?].Fl,1
NYS-1943.Folded,1
1978.104,1
PAMP Bickell-2,1
1977.238,1
B P-[1864]a.Fl,1
ARC.297,1
PAMP Polk-1,1
ARC.307,1
L.I.-1910.R,1
B P-[1835]a.A.RA c.2,1
Lefferts KFN1825.2 1800,1
E-US-[1740].Fl.RA,1
L.I.-18th-19th century.Fl,1
