,j
PAMP AFAS-1,1
B A-1971p.Fl,1
ARC.112,1
B P-1903.Fl,1
PAMP Aristocracy-1,1
2004.021,1
PAMP ThayerE-2,1
B P-[1834]c.Fl,1
"USGS-1:24,500 (Brooklyn)1979.Fl",1
B A-1867.Fl c.2,1
B P-[18--?].Fl.Folio,1
L.I.-[18--?]d.Fl,1
ARC.282,1
Bergen-1873.Fl,1
1990.026,1
1978.012,1
PAMP Drake-4,1
ARC.086,1
PAMP Gasparin-1,1
B C-1986c.Fl.O,1
Bergen-1853.Fl.O,1
1973.098,1
V1981.009,1
PAMP VanDyke-1,1
NYS-1887a.Folded,1
B C-[1889?].Fl,1
"USGS-1:24,000 (Brooklyn)1975.Fl",1
PAMP Greenhow-1,1
1973.133,1
ARC.306,1
L.I.-1924.Fl,1
B A-1960.Folded,1
Bergen-[1853].Fl,1
G1253.S8,1
1977.477,1
B P-[1847]b.F,1
2002.020,1
ARC.212,1
PAMP OwenRD-1,1
B C-1949a.Fl,1
Bergen-[189-?]f.Fl,1
B A-[1856?].Fl,1
CBBG E185.62 .L83 2005,1
PAMP Bliss-1,1
ARC.008,1
V1991.054,1
PAMP ASCFPC-6,1
NYC-[1985?].Fl,1
PAMP DonnellEJ-1,1
V1982.004,1
V1990.074,1
M-1776 (189-?).Fl,1
PAMP Whiting-1,1
B A-1898a.Fl,1
ARC.045,1
